id,timestamp,url,tweet,replies,retweets,quotes,likes
1.31E+18,10/7/2020 18:55,https://twitter.com/JoeBiden/status/1313915747479945216,"These families fled persecution and violence to seek safety in the land of the free.

But instead of providing refuge, the Trump Administration ripped their children away from them.

The cruelty was the point — and it's reprehensible. https://t.co/uU3q2EW6vO",2392,8942,374,34484
1.31E+18,10/7/2020 20:22,https://twitter.com/JoeBiden/status/1313937641805496320,"Folks, I know a thing or two about vice presidential debates.

In 2008, I squared off against Governor Palin. And in 2012, I called out Congressman Ryan's malarkey.

I know @KamalaHarris will do a great job. Join me and tune in at 9 PM ET to cheer her on.",5088,15451,892,141219
1.31E+18,10/7/2020 22:16,https://twitter.com/JoeBiden/status/1313966330861809671,"Taylor — Thanks for your support and for speaking out at this crucial moment in our nation’s history.

Election Day is right around the corner — are you ready for it? 

https://t.co/eoxT07d7QB https://t.co/TLHRYSjbTx",3742,24878,3488,180854
1.31E+18,10/7/2020 23:05,https://twitter.com/JoeBiden/status/1313978662295949314,"We can end this era of division.

We can end the hate and the fear.

We can be what we are at our best: one America. https://t.co/ZaUKw91eLZ",1849,3769,194,19322
1.31E+18,10/7/2020 23:52,https://twitter.com/JoeBiden/status/1313990490036068352,"Go get 'em, @KamalaHarris. https://t.co/L0YHko1WmA",4666,20413,1456,213619
1.31E+18,10/8/2020 0:31,https://twitter.com/JoeBiden/status/1314000413893382144,"Before @KamalaHarris steps on stage, tune in for a pre-debate event with @MindyKaling, @PadmaLakshmi, @DJCassidy, and more. https://t.co/SByDx8O8lu",380,1180,35,6354
1.31E+18,10/8/2020 0:40,https://twitter.com/JoeBiden/status/1314002569706917888,".@KamalaHarris is about to take the debate stage –– but before she does, I need your help.

Will you chip in to make sure Kamala knows you’ve got her back as she takes on Vice President Pence? https://t.co/QwFRpbMJVC",1061,1635,92,9953
1.31E+18,10/8/2020 1:13,https://twitter.com/JoeBiden/status/1314011006650273792,"We’re eight months into this pandemic and Donald Trump and Mike Pence still have no plan to deal with COVID-19. He’s still hoping it will just “disappear.”

@KamalaHarris and I have a comprehensive, science-backed plan to defeat this virus.

Take a look: https://t.co/xjxsDn2qCD",1337,4075,145,20576
1.31E+18,10/8/2020 1:28,https://twitter.com/JoeBiden/status/1314014722405150722,".@KamalaHarris is showing the American people why I chose her as my running mate. She’s smart, she’s experienced, she’s a proven fighter for the middle class. She’ll be an incredible Vice President.",23870,63141,3901,546537
1.31E+18,10/8/2020 1:49,https://twitter.com/JoeBiden/status/1314019962487529477,"Let me be clear: A Biden-Harris Administration won't increase taxes by a dime on anyone making less than $400,000 a year.",29614,95805,7191,614822
1.31E+18,10/8/2020 2:25,https://twitter.com/JoeBiden/status/1314029053486211073,"Donald Trump has made hate, division, and dog whistles central to his campaign from the very beginning – and last week he couldn't even condemn white supremacists. It’s a pattern.",4672,21959,561,157219
1.31E+18,10/8/2020 2:33,https://twitter.com/JoeBiden/status/1314031047013732352,Pitch in $5 to help this campaign fly. https://t.co/CqHAId0j8t https://t.co/NbkPl0a8HV,26036,215330,57034,909620
1.31E+18,10/8/2020 2:44,https://twitter.com/JoeBiden/status/1314033841661767680,https://t.co/TtWm3i4eaq.,14234,101213,19435,454576
1.31E+18,10/8/2020 2:47,https://twitter.com/JoeBiden/status/1314034535890378752,".@KamalaHarris, you made us all proud tonight.",28479,94910,5605,1105873
1.31E+18,10/8/2020 15:40,https://twitter.com/JoeBiden/status/1314229062324441089,Last night @KamalaHarris showed America exactly why she’ll make an incredible Vice President. https://t.co/9BCqSUrl50,4986,16122,1008,101001
